Acanaloniidae
Clubionidae
Clusiidae
Cneoglossidae
Coccidae
Coccinellidae
Coelopidae
Coelostomidiidae
Coleophoridae
Colletidae
Colobathristidae
Compsocidae
Conchaspididae
Conopidae
Copromorphidae
Coreidae
Corethrellidae
Corinnidae
Corixidae
Corylophidae
Cosmopterigidae
Cossidae
Crabronidae
Crambidae
Cryptochetidae
Cryptococcidae
Cryptophagidae
Ctenidae
Ctenizidae
Ctenostylidae
Cucujidae
Culicidae
Cupedidae
Curculionidae
Curtonotidae
Cyatholipidae
Cybaeidae
Cybocephalidae
Cyclaxyridae
Cycloctenidae
Cyclotornidae
Cydnidae
Cylindrotomidae
Cymidae
Cynipidae
Cypselosomatidae
Cyrtaucheniidae
Cyrtocoridae
Dactylopiidae
Dalceridae
Dascillidae
Dasydemellidae
Deinopidae
Delphacidae
Depressariidae
Derbidae
Dermaptera
Dermestidae
Derodontidae
Desidae
Deuterophlebiidae
Diadocidiidae
Diapriidae
Diaspididae
Diastatidae
Dictynidae
Dictyopharidae
Diguetidae
Dinidoridae
Diopsidae
Dipluridae
Diprionidae
Dipsocoridae
Diptera_family_incertae_sedis
Discolomatidae
Disteniidae
Ditomyiidae
Dixidae
Doidae
Dolabellopsocidae
Dolichopodidae
Douglasiidae
Drepanidae
Drosophilidae
Dryadaulidae
Dryinidae
Drymusidae
Dryomyzidae
Dryopidae
Dudgeoneidae
Dysderidae
Dytiscidae
Echinophthiriidae
Ectopsocidae
Elachistidae
Elateridae
Elipsocidae
Elmidae
Embioptera
Embolemidae
Empididae
Encyrtidae
Endecatomidae
Endomychidae
Endromidae
Enicocephalidae
Epermeniidae
Ephemeroptera
Ephydridae
Epicopeiidae
Epimarptidae
Epimetopidae
Epipsocidae
Epipygidae
Epipyropidae
Erebidae
Eresidae
Eriaporidae
Eriococcidae
Eriocottidae
Eriocraniidae
Erotylidae
Eucharitidae
Eucinetidae
Eucnemidae
Euctenizidae
Eulichadidae
Eulophidae
Eupelmidae
Eupsilobiidae
Eupterotidae
Eurybrachidae
Eurytomidae
Euteliidae
Eutrichosomatidae
Euxestidae
Evaniidae
Evocoidae
Fanniidae
Fergusoninidae
Figitidae
Filistatidae
Flatidae
Formicidae
Fulgoridae
Galacticidae
Gallieniellidae
Gasteruptiidae
Gelastocoridae
Gelechiidae
Geocoridae
Geometridae
Georissidae
Geotrupidae
Gerridae
Glaphyridae
Glaresidae
Glossinidae
Glyphipterigidae
Gnaphosidae
Gobryidae
Gracillariidae
Gradungulidae
Gyrinidae
Haematomyzidae
Haematopinidae
Hahniidae
Halictidae
Haliplidae
Halonoproctidae
Hebridae
Hedylidae
Helcomyzidae
Heleomyzidae
Heliodinidae
Heliozelidae
Helophoridae
Heloridae
Helosciomyzidae
Helotidae
Helotrephidae
Hemipsocidae
Hepialidae
Heptamelidae
Hermatobatidae
Hersiliidae
Hesperiidae
Hesperinidae
Heterobathmiidae
Heteroceridae
Heterogastridae
Heterogynidae
Hexathelidae
Hilarimorphidae
Himantopteridae
Hippoboscidae
Histeridae
Hobartiidae
holothyrida
Homalocnemiidae
Homalonychidae
Homotomidae
Hoplopleuridae
Huttoniidae
Huttoninidae
Hyblaeidae
Hybosoridae
Hybotidae
Hydraenidae
Hydrochidae
Hydrometridae
Hydrophilidae
Hydroscaphidae
Hygrobiidae
Hyocephalidae
Hypochilidae
Ibaliidae
Iberobaeniidae
Ichneumonidae
Idiopidae
Idiostolidae
Immidae
Inbiomyiidae
Incurvariidae
Ironomyiidae
Ischaliidae
Ismaridae
Issidae
Iteaphila-group
Ixodida
Jacobsoniidae
Joppeicidae
Jurasaidae
Kateretidae
Kermesidae
Keroplatidae
Kerriidae
Kinnaridae
Kuwaniidae
Lachesillidae
Lacturidae
Laemobothriidae
Laemophloeidae
Lamponidae
Lampyridae
Largidae
Lasiocampidae
Lasiochilidae
Latridiidae
Lauxaniidae
Lecanodiaspididae
Lecithoceridae
Leiodidae
Lepiceridae
Lepidopsocidae
Lepidoptera_incertae_sedis
Leptonetidae
Leptopodidae
Lestoniidae
Leucospidae
Limacodidae
Limnichidae
Limoniidae
Linognathidae
Linyphiidae
Liocranidae
Liopteridae
Liphistiidae
Liposcelididae
Liviidae
Lonchaeidae
Lonchopteridae
Lophocateridae
Lophocoronidae
Lophopidae
Lucanidae
Lutrochidae
Lycaenidae
Lycidae
Lycosidae
Lyctocoridae
Lygaeidae
Lymexylidae
Lyonetiidae
Lypusidae
Maamingidae
Machaerotidae
Macrothelidae
Macroveliidae
Malcidae
Malkaridae
Mantodea
Marchalinidae
Margarodidae
Marginidae
Mauroniscidae
Mecoptera
Mecysmaucheniidae
Meenoplidae
Meessiidae
Megachilidae
Megadictynidae
Megalodontesidae
Megalopodidae
Megaloptera
Megalopygidae
Megalyridae
Megamerinidae
Megarididae
Megaspilidae
Megastigmidae
Melandryidae
Melittidae
Mellinidae
Meloidae
Melyridae
Membracidae
Menoponidae
Meruidae
Mesembrinellidae
Mesopsocidae
Mesostigmata
Mesoveliidae
Metarbelidae
Micromalthidae
Micropezidae
Microphysidae
Micropterigidae
Microthoraciidae
Migidae
Milichiidae
Millieriidae
Mimallonidae
Mimetidae
Miridae
Miturgidae
Mnesarchaeidae
Momphidae
Monomachidae
Monophlebidae
Monotomidae
Mordellidae
Mormotomyiidae
Murmidiidae
Musapsocidae
Muscidae
Mutillidae
Mycetaeidae
Mycetophagidae
Mycetophilidae
Mycteridae
Mydidae
Myerslopiidae
Mymaridae
Mymarommatidae
Myopsocidae
Myraboliidae
Myrmecicultoridae
Myrmosidae
Mysmenidae
Mystacinobiidae
Nabidae
Nannodastiidae
Natalimyzidae
Naucoridae
Nemesiidae
Nemestrinidae
Neminidae
Nemonychidae
Neopseustidae
Nepidae
Nepticulidae
Neriidae
Nesticidae
Neurochaetidae
Neuroptera
Nicodamidae
Ninidae
Nitidulidae
Noctuidae
Nogodinidae
Nolidae
Nosodendridae
Noteridae
Nothybidae
Notodontidae
Notonectidae
Notoptera
Nymphalidae
Nymphomyiidae
Ochodaeidae
Ochteridae
Ochyroceratidae
Odiniidae
Odonata
Oecobiidae
Oecophoridae
Oedemeridae
Oenosandridae
Oestridae
Omethidae
Ommatidae
Oonopidae
Opetiidae
Opilioacarida
Opiliones
Opomyzidae
Opostegidae
Oreogetonidae
Oreoleptidae
Ormyridae
Orsodacnidae
Orsolobidae
Ortheziidae
Orthoptera
Orussidae
Oxycarenidae
Oxyopidae
Oxypeltidae
Pachygronthidae
Pachyneuridae
Pachynomidae
Pachytroctidae
Pacullidae
Palaephatidae
Pallopteridae
Palpigradi
Palpimanidae
Pamphiliidae
Pantophthalmidae
Papilionidae
Paracaeciliidae
Paraleucopidae
Paraphrynoveliidae
Parastrachiidae
Paratropididae
Passalidae
Passandridae
Pediciidae
Pedicinidae
Pediculidae
Pelecinidae
Pelecorhynchidae
Peleopodidae
Peloridiidae
Peltidae
Pemphredonidae
Penestomidae
Pentatomidae
Pergidae
Periegopidae
Perilampidae
Peripsocidae
Periscelididae
Perissommatidae
Phacopteronidae
Phalacridae
Phasmatodea
Phaudidae
Phengodidae
Phiditiidae
Philanthidae
Philodromidae
Philopteridae
Philotarsidae
Phloeidae
Phloeostichidae
Phloiophilidae
Pholcidae
Phoridae
Phrurolithidae
Phycosecidae
Phylloxeridae
Physoglenidae
Phyxelididae
Pieridae
Piesmatidae
Pimoidae
Piophilidae
Pipunculidae
Pisauridae
Plataspidae
Platygastridae
Platypezidae
Platystomatidae
Plecoptera
Plectreuridae
Pleidae
Pleocomidae
Plokiophilidae
Plumariidae
Plutellidae
Polleniidae
Polyctenidae
Polyplacidae
Pompilidae
Porrhothelidae
Potamocoridae
Praydidae
Priasilphidae
Prionoceridae
Prionoglarididae
Proctotrupidae
Prodidactidae
Prodidomidae
Prodoxidae
Promecheilidae
Prostomidae
Protocucujidae
Psechridae
Psenidae
Psephenidae
Pseudobistonidae
Pseudocaeciliidae
Pseudococcidae
Pseudopomyzidae
Pseudoscorpines
Psilidae
Psilodercidae
Psilopsocidae
Psocidae
Psoquillidae
Psychidae
Psychodidae
Psyllidae
Psyllipsocidae
Pterolonchidae
Pteromalidae
Pterophoridae
Pthiridae
Ptiliidae
Ptilodactylidae
Ptiloneuridae
Ptinidae
Ptychopteridae
Putoidae
Pyralidae
Pyrgotidae
Pyrochroidae
Pyrrhocoridae
Pythidae
Raphidioptera
Ratardidae
Reduviidae
Rentoniidae
Rhadalidae
Rhagionidae
Rhagophthalmidae
Rhinorhipidae
Rhipiceridae
Rhizoecidae
Rhopalidae
Rhopalosomatidae
Rhyparochromidae
Rhysodidae
Ricaniidae
Richardiidae
Ricinidae
Ricinuclei
Riodinidae
Ripiphoridae
Roeslerstammiidae
Ropalomeridae
Roproniidae
Rotoitidae
Saldidae
Salpingidae
Salticidae
Sapygidae
Sarcophagidae
Sarcoptiformes
Saturniidae
Scarabaeidae
Scathophagidae
Scatopsidae
Scelionidae
Scenopinidae
Schistonoeidae
Schizomida
Schizopodidae
Schizopteridae
Schreckensteiniidae
Sciaridae
Sciaroidea_incertae_sedis
Sciomyzidae
Scirtidae
Sclerogibbidae
Scolebythidae
Scoliidae
Scorpiones
Scraptiidae
Scutelleridae
Scythrididae
Scythropiidae
Scytodidae
Segestriidae
Selenopidae
Sematuridae
Senoculidae
Sepsidae
Sesiidae
Sicariidae
Sierolomorphidae
Signiphoridae
Silphidae
Silvanidae
Simaethistidae
Simuliidae
Siphonaptera
Siricidae
Smicripidae
Solifugae
Somabrachyidae
Somatiidae
Sparasionidae
Sparassidae
Spercheidae
Sphaeritidae
Sphaeriusidae
Sphaeroceridae
Sphecidae
Sphindidae
Sphingidae
Staphylinidae
Stathmopodidae
Stenocephalidae
Stenochilidae
Stenopsocidae
Stenotrachelidae
Stenotritidae
Stephanidae
Stictococcidae
Stiphidiidae
Stratiomyidae
Strepsiptera
Strongylophthalmyiidae
Symphytognathidae
Synaphridae
Synchroidae
Synotaxidae
Syringogastridae
Syrphidae
Tabanidae
Tachinidae
Tanaostigmatidae
Tanyderidae
Tanypezidae
Telemidae
Tenebrionidae
Tenebrionoidea_incertae_sedis
Tenthredinidae
Tephritidae
Teratomyzidae
Termitaphididae
Tessaratomidae
Tetrablemmidae
Tetracampidae
Tetragnathidae
Tetratomidae
Tettigarctidae
Tettigometridae
Thanerocleridae
Thaumaleidae
Thaumastellidae
Thaumastocoridae
Theraphosidae
Therevidae
Theridiidae
Theridiosomatidae
Thomisidae
Throscidae
Thymalidae
Thynnidae
Thyreocoridae
Thyrididae
Thysanoptera
Tineidae
Tineodidae
Tingidae
Tiphiidae
Tipulidae
Tischeriidae
Titanoecidae
Tonzidae
Torridincolidae
Tortricidae
Torymidae
Toxopidae
Trachelidae
Trachypachidae
Trachypetidae
Trechaleidae
Trichoceridae
Trichodectidae
Trichogrammatidae
Trichopsocidae
Trichoptera
Trictenotomidae
Tridentaformidae
Trigonalidae
Triozidae
Trochanteriidae
Troctopsocidae
Trogidae
Trogiidae
Trogloraptoridae
Trogossitidae
Trombidiformes
Tropiduchidae
Udubidae
Ulidiidae
Uloboridae
Ulodidae
Uraniidae
Urodidae
Uropygi
Urostylididae
Ustyurtiidae
Vanhorniidae
Veliidae
Velocipedidae
Vermileonidae
Vesperidae
Vespidae
Viridasiidae
Whalleyanidae
Xenasteiidae
Xenoctenidae
Xiphydriidae
Xyelidae
Xylomyidae
Xylophagidae
Xyloryctidae
Yponomeutidae
Ypsolophidae
Zodariidae
Zopheridae
Zoraptera
Zoropsidae
Zygaenidae
Zygentoma
